GenomeID	Gene_number
549374	3412
4469	3412
570536	3412
58371	3412
2282685	3412
2494558	3412
1798591	3412
2366606	3412
4452	3412
4304579	3412
4476265	3412
4388964	3412
3819035	3412
4388965	3412
4476264	3412
4482799	3412
272985	3412
4486037	3412
15692	1427
240847	1427
243947	1427
4336312	1427
4336310	1427
4336311	1427
3874912	1427
566143	1427
355090	1427
306804	1427
340188	1427
685260	1427
3135096	1427
3690857	1427
802343	1427
15691	1427
635607	1427
108386	1427
4336305	1427
605209	1427
83638	1427
3426113	1427
1105864	3129.5
4472456	3129.5
4480302	3129.5
4272077	3129.5
279464	3129.5
558510	3129.5
65356	3129.5
7498	3129.5
7494	3129.5
716823	3129.5
103598	3129.5
556258	3129.5
156285	3129.5
156297	3129.5
149791	3129.5
148474	3129.5
149228	3129.5
169683	3129.5
4439264	3129.5
4393477	3129.5
4322779	3129.5
4439265	3129.5
152444	3129.5
250409	3129.5
1110789	3129.5
1112522	3129.5
1106452	3129.5
1107513	3129.5
231879	3129.5
231905	3129.5
230977	3129.5
230240	3129.5
264975	3129.5
252483	3129.5
254906	3129.5
233447	3129.5
48511	3129.5
566087	3129.5
553173	3129.5
542115	3129.5
559819	3129.5
344051	3129.5
4464231	3129.5
160552	3129.5
160163	3129.5
161250	3129.5
160244	3129.5
160072	3129.5
4485600	3129.5
576892	3129.5
160728	3129.5
540623	3129.5
32422	3129.5
716385	3129.5
329789	3129.5
7499	3129.5
328708	4033
342292	4033
2118850	4033
311867	4033
170409	4033
4339357	4033
160222	4033
873972	4033
703842	4033
1031290	4033
1017432	4033
1091582	4033
4461617	4033
4301917	4033
347156	4033
4321582	4033
809084	4033
3633321	4033
3633322	4033
4345912	4033
4083995	4033
4385553	4033
2797397	4033
2066111	4033
185319	4033
334764	4033
864167	4033
1087493	4033
914198	4033
1011289	4033
997393	4033
956191	4033
1101968	4033
1100209	4033
1032108	4033
1003570	4033
1084696	4033
1008972	4033
1024847	4033
864780	4033
1034023	4033
998655	4033
1094564	4033
893371	4033
853526	4033
671154	4033
628331	4033
696862	4033
881402	4033
979367	4033
902484	4033
900858	4033
1021575	4033
987264	4033
887242	4033
1046102	4033
1009825	4033
919437	4033
1073564	4033
875569	4033
1078908	4033
868588	4033
916734	4033
910365	4033
1054555	4033
1047265	4033
932093	4033
1079405	4033
1054743	4033
1072291	4033
967683	4033
954460	4033
936360	4033
969878	4033
935635	4033
884230	4033
1000896	4033
1087058	4033
997652	4033
894290	4033
615610	4033
998367	4033
664839	4033
944924	4033
708440	4033
986792	4033
758273	4033
930059	4033
635655	4033
911672	4033
787759	4033
882335	4033
1041195	4033
795022	4033
889078	4033
657418	4033
1039929	4033
722306	4033
995586	4033
715113	4033
1008177	4033
652634	4033
955310	4033
620238	4033
1095059	4033
777222	4033
968244	4033
721701	4033
944285	4033
777364	4033
898647	4033
760086	4033
1080970	4033
674887	4033
970775	4033
661808	4033
1003066	4033
615529	4033
1058333	4033
693130	4033
946897	4033
771619	4033
999087	4033
703033	4033
929077	4033
743917	4033
900555	4033
757329	4033
1045406	4033
719857	4033
957500	4033
730038	4033
976642	4033
764133	4033
862753	4033
757859	4033
1095750	4033
699175	4033
