GenomeID	Copies_16S
549374	3
4469	3
570536	3
58371	3
2282685	3
2494558	3
1798591	3
2366606	3
4452	3
4304579	3
4476265	3
4388964	3
3819035	3
4388965	3
4476264	3
4482799	3
272985	3
4486037	3
15692	2
240847	2
243947	2
4336312	2
4336310	2
4336311	2
3874912	2
566143	2
355090	2
306804	2
340188	2
685260	2
3135096	2
3690857	2
802343	2
15691	2
635607	2
108386	2
4336305	2
605209	2
83638	2
3426113	2
1105864	2
4472456	2
4480302	2
4272077	2
279464	2
558510	2
65356	2
7498	2
7494	2
716823	2
103598	2
556258	2
156285	2
156297	2
149791	2
148474	2
149228	2
169683	2
4439264	2
4393477	2
4322779	2
4439265	2
152444	2
250409	2
1110789	2
1112522	2
1106452	2
1107513	2
231879	2
231905	2
230977	2
230240	2
264975	2
252483	2
254906	2
233447	2
48511	2
566087	2
553173	2
542115	2
559819	2
344051	2
4464231	2
160552	2
160163	2
161250	2
160244	2
160072	2
4485600	2
576892	2
160728	2
540623	2
32422	2
716385	2
329789	2
7499	2
328708	7
342292	7
2118850	7
311867	7
170409	7
4339357	7
160222	7
873972	7
703842	7
1031290	7
1017432	7
1091582	7
4461617	7
4301917	7
347156	7
4321582	7
809084	7
3633321	7
3633322	7
4345912	7
4083995	7
4385553	7
2797397	7
2066111	7
185319	7
334764	7
864167	7
1087493	7
914198	7
1011289	7
997393	7
956191	7
1101968	7
1100209	7
1032108	7
1003570	7
1084696	7
1008972	7
1024847	7
864780	7
1034023	7
998655	7
1094564	7
893371	7
853526	7
671154	7
628331	7
696862	7
881402	7
979367	7
902484	7
900858	7
1021575	7
987264	7
887242	7
1046102	7
1009825	7
919437	7
1073564	7
875569	7
1078908	7
868588	7
916734	7
910365	7
1054555	7
1047265	7
932093	7
1079405	7
1054743	7
1072291	7
967683	7
954460	7
936360	7
969878	7
935635	7
884230	7
1000896	7
1087058	7
997652	7
894290	7
615610	7
998367	7
664839	7
944924	7
708440	7
986792	7
758273	7
930059	7
635655	7
911672	7
787759	7
882335	7
1041195	7
795022	7
889078	7
657418	7
1039929	7
722306	7
995586	7
715113	7
1008177	7
652634	7
955310	7
620238	7
1095059	7
777222	7
968244	7
721701	7
944285	7
777364	7
898647	7
760086	7
1080970	7
674887	7
970775	7
661808	7
1003066	7
615529	7
1058333	7
693130	7
946897	7
771619	7
999087	7
703033	7
929077	7
743917	7
900555	7
757329	7
1045406	7
719857	7
957500	7
730038	7
976642	7
764133	7
862753	7
757859	7
1095750	7
699175	7
937314	7
714102	7
1085697	7
759847	7
978929	7
733966	7
1001955	7
626198	7
958967	7
635855	7
978229	7
649343	7
1044526	7
774097	7
1021903	7
686802	7
1004653	7
676664	7
